COMPRAS PM (EDITABLE)							
							
Fecha	OC	Codigo	Descripcion	Proveedor	Costo PM CLP	Regla	Estado OC
10-03-2026	DEMO-02-7866	EQP-07	SC-02-6157 FILTROS EQP-7	COM. PUENTES DE MAULE LTDA.	 $111.593,44 	Directo Equipo	OC Aprobada
10-03-2026	DEMO-02-7873	ED-61	SC-02-6171 FILTROS ED-61	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $31.799,98 	Directo Equipo	OC Aprobada
10-03-2026	DEMO-02-7877		SC-02 RETIRO DE FILTROS VACIOS 	VIA LIMPIA SPA	 $419.696,04 	Preventivo sin equipo	OC Aprobada
11-03-2026	DEMO-02-7891	EQP-07	SC-02-6156 FILTROS EQP-7	COM. PUENTES DE MAULE LTDA.	 $119.511,70 	Directo Equipo	OC Aprobada
12-03-2026	DEMO-02-7897	CD-119	SC-02-6178 KIT FILTROS CD-119	AUTOMOTORA ALAMEDA SPA	 $170.432,99 	Directo Equipo	OC Aprobada
12-03-2026	DEMO-02-7900		SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-103	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-104	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-105	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900		SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-107	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-120	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-121	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-122	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-123	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-124	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-87	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-88	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-89	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-90	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-91	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
12-03-2026	DEMO-02-7900	CD-94	SC-02-6177 FILTROS HID. MAN	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $6.023,53 	Prorrateo MAN	OC Aprobada
